Birdname,Species,Sex,Birthday,Uncertainty,Cage,Father,Mother,Date of death,Cause of death,Comment,Reserved
g2r6,ZF,F,11/16/2008,2,KU,k2r2,p9r2,,,9.11.2009 (AK): didn't find bird in KU,FALSE
g2r7,ZF,M,12/27/2008,6,,r5y19,o19r5,3/12/2009,End of Exp.,,FALSE
g2r8,ZF,M,3/27/2009,3,,g4r6,r6s4,9/7/2009,End of Exp.,,FALSE
g3o-r11,ZF,M,5/19/2006,0,,red11,purple8,10/18/2006,End of Exp.,no sleep bursts,FALSE
g3p-sb,ZF,M,3/29/2007,5,,silverblack,blue3,6/25/2007,End of Exp.,,FALSE
g3r1,ZF,M,,0,,,,6/25/2009,NE,"bought from Qualipet Glattzentrum on 17.07.07. Georg. missing since 3.7.08 (If you find this bird, please don't use it and let Claude know ASAP. Thanks. 16.06.2009). Not found, presumed dead. (-janie, 25.june.2009)",FALSE
g3r10,ZF,M,8/29/2009,4,E10,r7p1,p13r5,,,used to be JU1e,FALSE
g3r2,ZF,M,10/5/2007,4,,g3r1,purple8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g3r3,ZF,M,2/11/2008,3,,g5r1,purple13,6/9/2008,End of Exp.,,FALSE
g3r4,ZF,M,4/10/2008,5,,o1r1,r7g-yellow8,7/28/2008,End of Exp.,,FALSE
g3r5,BF,,7/19/2008,5,A,v-v10,K-K-K209-15,,,,FALSE
g3r6,ZF,F,11/16/2008,3,F,y7o-r16,b20o-ch900,,,,FALSE
g3r7,ZF,M,12/27/2008,0,,r5y19,o19r5,3/12/2009,End of Exp.,,FALSE
g3r8,ZF,F,3/28/2009,3,,r5y10,b15r6,,,"bird is missing on june 15, 2009",FALSE
g4k,ZF,F,8/19/2005,0,,,,11/1/2007,Given away,Given away to Johanna,FALSE
g4o-r11,ZF,F,5/19/2006,0,,red11,purple8,10/6/2006,NE,,FALSE
g4p-y16p,ZF,M,4/2/2007,3,,y16p-s2,o12o-r12k,6/25/2009,NE,"did not find bird during KM/KO search. Claude. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
g4r1,ZF,M,,0,,,,2/27/2009,End of Exp.,bought from Qualipet Glattzentrum on 17.07.07. Georg.,FALSE
g4r10,ZF,,9/21/2009,1,O1,r6s5,o6r7,,,,FALSE
g4r2,ZF,F,10/5/2007,4,,g3r1,purple8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g4r3,ZF,M,2/11/2008,3,,g5r1,purple13,5/19/2008,End of Exp.,,FALSE
g4r4,ZF,M,5/13/2008,5,,p14k-p2,blue2,9/25/2008,End of Exp.,Reserved for Janie,FALSE
g4r5,BF,M,7/19/2008,4,R8,v-v10,K-K-K209-15,,,Andreas,TRUE
g4r6,ZF,M,11/16/2008,4,,y7o-r16,b20o-ch900,7/12/2009,End of Exp.,,FALSE
g4r7,ZF,F,12/27/2008,0,2U3,r5y19,o19r5,,,,FALSE
g4r8,ZF,F,3/27/2009,3,,g4r6,r6s4,8/22/2009,NE,,FALSE
g5k,ZF,F,8/22/2005,0,,,,7/23/2007,End of Exp.,,FALSE
g5o-p20,ZF,F,6/30/2006,0,,purple20,purple13,11/17/2006,NE,as compagnion,FALSE
g5p-s19o,ZF,F,11/21/2006,2,,s19o,green10,1/19/2007,End of Exp.,White bird.,FALSE
g5r1,ZF,M,,0,,,,7/22/2008,End of Exp.,,FALSE
g5r10,ZF,,9/21/2009,1,O1,r6s5,o6r7,,,,FALSE
g5r2,ZF,M,10/5/2007,4,,g3r1,purple8,3/7/2008,End of Exp.,,FALSE
g5r3,ZF,F,2/11/2008,3,,g5r1,purple13,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g5r4,ZF,M,5/13/2008,5,,p14k-p2,blue2,8/25/2008,End of Exp.,,FALSE
g5r5,BF,,7/19/2008,0,A,v-v10,K-K-K209-15,,,,FALSE
g5r6,ZF,F,11/16/2008,3,,y7o-r16,b20o-ch900,3/20/2009,NE,,FALSE
g5r7,ZF,M,1/8/2009,0,,r5y11,r5s13,3/16/2009,End of Exp.,,FALSE
g5r8,ZF,F,3/28/2009,3,,r6y10,b15r6,7/28/2009,NE,,FALSE
g6k-b12,ZF,F,10/5/2005,0,,,,2/16/2007,Given away,Given Away to Marianne,FALSE
g6o-r12k,ZF,M,6/2/2006,0,,r12k-ch900,g4k,10/23/2006,End of Exp.,,FALSE
g6p-s19o,ZF,F,11/21/2006,2,,s19o,green10,2/16/2007,Given away,White bird.  Given Away to Marianne,FALSE
g6r1,ZF,M,,0,,,,1/17/2009,End of Exp.,bought from Qualipet Glattzentrum on 17.07.07. Georg.,FALSE
g6r10,ZF,F,9/1/2009,3,R7,b10r7,b15r6,,,Michel. DOR - 3.Nov.2009. Isotenic acid control. Used at age < 75 dph.,TRUE
g6r2,ZF,F,9/28/2007,2,,b13g-red11,s11p-yellow8,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g6r3,ZF,M,2/11/2008,3,,g5r1,purple13,9/24/2008,End of Exp.,,FALSE
g6r4,ZF,M,5/13/2008,5,,p14k-p2,blue2,8/20/2008,End of Exp.,,FALSE
g6r5,ZF,M,7/30/2008,7,,b7r3,p20r3,10/28/2008,Perished,Age uncertain!! Probably up to 10 days correct.,FALSE
g6r5-x,ZF,F,5/15/2008,0,,,,,,"Left behind by Sandra. Has GFP injection in Area X, bird is missing on june 15, 2009",FALSE
g6r6,ZF,M,11/16/2008,3,,b11r5,g18k-y6,6/2/2009,End of Exp.,,FALSE
g6r7,ZF,F,1/6/2009,4,,red11,b7br-b3k,3/20/2009,NE,,FALSE
g7o-r12k,ZF,M,6/2/2006,0,,r12k-ch900,g4k,11/6/2006,End of Exp.,,FALSE
g7p-s19o,ZF,F,11/21/2006,2,,s19o,green10,2/16/2007,Given away,White bird. Given Away to Marianne,FALSE
g7r1,ZF,M,,0,,,,12/3/2008,End of Exp.,bought from Qualipet Glattzentrum on 17.07.07. Georg.,FALSE
g7r10,ZF,F,9/1/2009,3,,b10r7,b15r6,,,,FALSE
g7r2,ZF,F,9/28/2007,2,,b13g-red11,s11p-yellow8,8/21/2008,NE,euthanized. Not found in ZZ-M on 09.06.08,FALSE
g7r3,ZF,F,2/12/2008,5,,o20o,r16o-r11,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
g7r4,ZF,F,5/4/2008,5,,yellow10,o9o10,8/21/2008,NE,euthanized,FALSE
g7r5,ZF,F,7/19/2008,0,,o19r2,r2s20,3/20/2009,NE,,FALSE
g7r6,ZF,F,11/16/2008,3,,b11r5,g18k-y6,3/20/2009,NE,,FALSE
g7r7,ZF,F,1/6/2009,4,,red11,b7br-b3k,3/20/2009,NE,,FALSE
g7r8,ZF,,3/28/2009,3,,r6y10,b15r6,6/9/2009,End of Exp.,Reserved for Patrick,FALSE
g8b-o4k,ZF,M,9/22/2006,0,,o4k-p2,green13,12/5/2006,End of Exp.,,FALSE
g8o*,ZF,,12/22/2006,2,,y13k-s17,purple5,2/5/2007,End of Exp.,,FALSE
g8o-r12k,ZF,M,6/2/2006,0,,r12k-ch900,g4k,12/14/2006,End of Exp.,,FALSE
g8r1,ZF,M,,0,KM,,,,,bought from Qualipet Glattzentrum on 17.07.07. Georg . [Good Tutor. His son can sing 7 syllables as a motif. Don't sacrifice him for exp. Use him for breeding only. Claude. 15.02.2008]. Has lost r1? Alexei. 10.06.2009). Reserved for Janie.,TRUE
g8r10,ZF,M,9/1/2009,3,KM,b10r7,b15r6,,,,FALSE
g8r2,ZF,M,9/28/2007,2,,b13g-red11,s11p-yellow8,10/8/2008,End of Exp.,,FALSE
g8r3,ZF,M,2/12/2008,5,,o20o,r16o-r11,9/16/2008,Surgery,,FALSE
g8r4,ZF,,5/23/2008,1,,r3p-r19o,s11p-yellow8,7/7/2008,End of Exp.,,FALSE
g8r5,ZF,M,7/7/2008,7,R5,g8r1,k10r2,,,possibly 10 days of uncertainty - slipped through into next cage. Bilateral cochlear Removed. Reserved by Claude.,FALSE
g8r6,ZF,M,11/16/2008,3,,b11r5,g18k-y6,6/2/2009,End of Exp.,,FALSE
g8r7,ZF,M,1/6/2009,4,,red11,b7br-b3k,3/29/2009,End of Exp.,,FALSE
g9b-o4k,ZF,F,9/22/2006,0,,o4k-p2,green13,11/1/2007,Given away,Given away to Johanna,FALSE
g9o-r12k,ZF,M,6/2/2006,0,,r12k-ch900,g4k,12/8/2006,End of Exp.,,FALSE
g9r1,ZF,M,,0,,,,1/27/2009,End of Exp.,bought from Qualipet Glattzentrum on 17.07.07. Georg.,FALSE
g9r10,ZF,M,8/19/2009,3,KM,r011,o8r5,,,,FALSE
g9r2,ZF,M,9/28/2007,2,,b13g-red11,s11p-yellow8,,,,FALSE
g9r3,ZF,F,2/12/2008,5,,o20o,r16o-r11,6/16/2008,End of Exp.,,FALSE
g9r4,ZF,M,5/4/2008,5,,yellow10,o9o10,8/15/2008,End of Exp.,,FALSE
g9r5,ZF,F,7/7/2008,7,,g8r1,k10r2,9/26/2008,End of Exp.,possibly 10 days of uncertainty - slipped through into next cage,FALSE
g9r6,ZF,,11/16/2008,3,,y7o-r16,b20o-ch900,7/14/2009,End of Exp.,Found in KM on 20 June 2009 . Was previously marked as NE on 22.01.2009. - Janie,FALSE
g9r7,ZF,F,1/6/2009,4,,red11,b7br-b3k,,,"bird is missing on june 15, 2009",FALSE
gg10r7,ZF,F,1/6/2009,4,,red11,b7br-b3k,3/20/2009,NE,"""gg"" is not typo. Somebody also rang ""g10r7"" for a male. So I rename this brid as ""gg10r7"". Claude 05.03.2009",FALSE
goldch900,ZF,M,,0,,,,1/11/2008,NE,luxation on right leg.,FALSE
green10,ZF,F,,0,,,,3/20/2009,NE,,FALSE
green12,ZF,F,,0,,,,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
green13,ZF,F,,0,,,,6/25/2009,NE,"not in U1 - missing. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
green14,ZF,F,5/19/2005,0,,,,5/12/2006,NE,,FALSE
green16,ZF,F,5/19/2005,0,,,,3/20/2009,NE,,FALSE
green3,ZF,F,,1,,,,6/16/2006,NE,"white  -> abgegeben an Z""uchter",FALSE
green4,ZF,M,,0,,,,11/3/2009,NE,Had surgery.,FALSE
green9,ZF,F,12/30/2004,0,,,,7/10/2007,End of Exp.,,FALSE
G-TT69-73,BF,M,1/1/2007,0,A,,,,,crappy song!,FALSE
g-v12,BF,F,1/1/2007,0,?,,,,,"Not found in cage A on 25 Aug., 2009 - Janie.",FALSE
J,ZF,,,0,,,,,,,FALSE
J2M1a,ZF,,10/3/2009,2,2M1,g13r8,r2s20,,,,FALSE
J2M1b,ZF,,10/3/2009,2,2M1,g13r8,r2s20,,,,FALSE
J2M1c,ZF,,10/3/2009,2,2M1,g13r8,r2s20,,,,FALSE
J2M2a,ZF,,10/21/2009,0,2M2,k8r2,o7r5,,,,FALSE
J2M2Bb,ZF,,12/12/2008,3,,p4r5,o1r5,6/25/2009,NE,"bird missing, could not find it in cage 2M2B on 6.2.2009, michael. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
J2O2a,ZF,,10/28/2009,0,2O2,o10r8,r5s1,,,,FALSE
J2O4a,ZF,,11/6/2009,1,2O4,p10r8,b11r8,,,,FALSE
J2O4b,ZF,,11/6/2009,1,2O4,p10r8,b11r8,,,,FALSE
J2U1a,ZF,,10/30/2009,1,2U1,p14k,r5s4,,,,FALSE
J2U1b,ZF,,10/30/2009,1,2U1,p14k,r5s4,,,,FALSE
J2U1c,ZF,,10/31/2009,1,2U1,p14k,r5s4,,,,FALSE
J2U1d,ZF,,10/31/2009,1,2U1,p14k,r5s4,,,,FALSE
J2U2a,ZF,,10/26/2009,0,2U2,p7r8k,k10r7,,,,FALSE
J2U3a,ZF,,10/2/2009,0,2U3,g12r2,g4r7,,,,FALSE
JM1a,ZF,,10/2/2009,3,M1,b14r4,o19r5,,,,FALSE
JM1b,ZF,,10/2/2009,3,M1,b14r4,o19r5,,,,FALSE
JM1c,ZF,,10/2/2009,3,M1,b14r4,o19r5,,,,FALSE
JM2a,ZF,,10/6/2009,1,M2,o13r8,b4r7,,,,FALSE
JM2b,ZF,,10/6/2009,1,M2,o13r8,b4r7,,,,FALSE
JM3a,ZF,,9/18/2009,3,M3,o4r8,p5r7,,,,FALSE
JM3b,ZF,,9/18/2009,3,M3,o4r8,p5r7,,,,FALSE
JM4a,ZF,,9/22/2009,5,M4,o1r1,r2y1,,,,FALSE
JM4b,ZF,,9/22/2009,5,M4,o1r1,r2y1,,,,FALSE
JM4c,ZF,,9/22/2009,5,M4,o1r1,r2y1,,,,FALSE
JM4d,ZF,,9/22/2009,5,M4,o1r1,r2y1,,,,FALSE
JM5a,ZF,,10/17/2009,0,M5,b10r7,b15r6,,,,FALSE
JM6a,ZF,,9/23/2009,6,M6,o5r8,k10r2,,,,FALSE
JM6b,ZF,,9/23/2009,6,M6,o5r8,k10r2,,,,FALSE
JM6c,ZF,,9/23/2009,6,M6,o5r8,k10r2,,,,FALSE
JM6d,ZF,,9/23/2009,6,M6,o5r8,k10r2,,,,FALSE
JO1a,ZF,,10/25/2009,0,O1,r6s5,o6r7,,,,FALSE
JO1b,ZF,,10/25/2009,0,O1,r6s5,o6r7,,,,FALSE
JO1c,ZF,,10/25/2009,0,O1,r6s5,o6r7,,,,FALSE
JO3a,ZF,,10/5/2009,5,O3,o12r8,g19r2,,,,FALSE
JO3b,ZF,,10/5/2009,5,O3,o12r8,g19r2,,,,FALSE
JO3c,ZF,,10/5/2009,5,O3,o12r8,g19r2,,,,FALSE
JO3d,ZF,,10/5/2009,5,O3,o12r8,g19r2,,,,FALSE
JO3e,ZF,,10/5/2009,5,O3,o12r8,g19r2,,,,FALSE
JO3f,ZF,,10/5/2009,5,O3,o12r8,g19r2,,,,FALSE
JO5a,ZF,,11/8/2009,1,O5,o8r8,k5r2,,,,FALSE
JO5b,ZF,,11/8/2009,1,O5,o8r8,k5r2,,,,FALSE
JO6a,ZF,,9/15/2009,3,O6,b7r7,r6s10,,,,FALSE
JO6b,ZF,,9/15/2009,3,O6,b7r7,r6s10,,,,FALSE
JO6c,ZF,,9/15/2009,3,O6,b7r7,r6s10,,,,FALSE
JO6d,ZF,,9/15/2009,3,O6,b7r7,r6s10,,,,FALSE
JO7a,ZF,,9/12/2009,3,O7,purple050,o18r7,,,,FALSE
JU3a,ZF,,9/11/2009,5,U3,p2r5,b5r7,,,,FALSE
JU3b,ZF,,9/11/2009,5,U3,p2r5,b5r7,,,,FALSE
JU3c,ZF,,9/11/2009,5,U3,p2r5,b5r7,,,,FALSE
JU3d,ZF,,9/11/2009,5,U3,p2r5,b5r7,,,,FALSE
JU3e,ZF,,9/11/2009,5,U3,p2r5,b5r7,,,,FALSE
JU4a,ZF,,9/17/2009,3,U4,974,g2r5,,,,FALSE
JU4b,ZF,,9/17/2009,3,U4,974,g2r5,,,,FALSE
JU4c,ZF,,9/17/2009,3,U4,974,g2r5,,,,FALSE
JU5a,ZF,,9/12/2009,2,U5,o11r8,g15r8,,,,FALSE
JU5b,ZF,,9/12/2009,2,U5,o11r8,g15r8,,,,FALSE
JU5c,ZF,,9/12/2009,2,U5,o11r8,g15r8,,,,FALSE
JU6a,ZF,,9/23/2009,2,U6,p3r6,r5y18,,,,FALSE
JU6b,ZF,,9/23/2009,2,U6,p3r6,r5y18,,,,FALSE
JU7a,ZF,,9/17/2009,5,U7,r5y14,r7y1,,,,FALSE
JU7b,ZF,,9/17/2009,5,U7,r5y14,r7y1,,,,FALSE
JU7c,ZF,,9/17/2009,5,U7,r5y14,r7y1,,,,FALSE
JU7d,ZF,,9/17/2009,5,U7,r5y14,r7y1,,,,FALSE
JU7e,ZF,,9/17/2009,5,U7,r5y14,r7y1,,,,FALSE
juvM3Bb,ZF,,5/4/2008,5,,yellow10,o9o10,6/19/2008,End of Exp.,,FALSE
juvM6a,ZF,M,4/19/2008,5,,silver15,o8p-y8,6/18/2007,End of Exp.,Not successful (misimplant) - burned for histology.,FALSE
juvO2a,ZF,,5/5/2008,5,,k7r1,r14w-silver17,6/26/2008,End of Exp.,,FALSE
k10k-p11k,ZF,F,3/3/2006,0,,p11k-ch900,g16k,8/21/2008,NE,euthanized. Offered Bird to employee Franco Patituci Tel 50376?? Came back,FALSE
k10r1,ZF,M,8/14/2007,3,,b13g-red11,s11p-yellow8,12/18/2007,End of Exp.,,FALSE
k10r2,ZF,F,11/17/2007,4,M6,g5r1,purple13,,,Found in ZZ on 22 Feb 2009,FALSE
k10r3,ZF,M,2/9/2008,3,,o18r1,b10r2,7/4/2008,End of Exp.,,FALSE
k10r5,ZF,M,6/17/2008,2,,o20o,r16o-r11,9/24/2008,Surgery,,FALSE
k10r7,ZF,F,3/13/2009,3,2U2,b9r5,o8p-y8,,,,FALSE
k10r8,ZF,M,8/21/2009,4,E7,k13r2,o2r5,,,used to be JU2d,FALSE
k11k-p11k,ZF,F,3/3/2006,0,,p11k-ch900,g16k,2/16/2007,Given away,Given Away to Marianne,FALSE
k11r1,ZF,M,8/17/2007,0,,s20o-yellow20,p19k-o3,2/20/2008,End of Exp.,,FALSE
k11r2,ZF,F,11/17/2007,4,,g5r1,purple13,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
k11r5,ZF,M,6/17/2008,2,,o20o,r16o-r11,10/13/2008,End of Exp.,,FALSE
k11r6,ZF,M,11/18/2008,3,,b14r5,g7r5,2/25/2009,End of Exp.,,FALSE
k11r7,ZF,M,3/17/2009,4,,s17o,r7g-yellow8,5/26/2009,End of Exp.,,FALSE
k11r8,ZF,M,8/4/2009,5,U6,p3r6,r5y18,,,,FALSE
k12r1,ZF,M,8/9/2007,3,,y16p-s2,o12o-r12k,12/11/2007,Surgery,,FALSE
k12r2,ZF,F,12/5/2007,0,,silvergreen8,green16,1/9/2009,NE,,FALSE
k12r3,ZF,F,3/12/2008,3,,silver15,o8p-y8,8/21/2008,NE,euthanized,FALSE
k12r5,ZF,M,7/23/2008,8,,b7r3,p20r3,10/14/2008,End of Exp.,,FALSE
k12r6,ZF,M,11/18/2008,3,,b14r5,g7r5,6/2/2009,End of Exp.,,FALSE
k12r8,ZF,F,8/4/2009,5,,p3r6,r5y18,11/6/2009,NE,,FALSE
k13k-r16,ZF,M,4/3/2006,5,,red16,green12,6/24/2006,End of Exp.,,FALSE
k13r1,ZF,M,8/9/2007,3,,y16p-s2,o12o-r12k,,,missing,FALSE
k13r2,ZF,M,11/22/2007,0,A-UL,b16r1,o11p-p20,,,"breeding brake, don't use for experiments",TRUE
k13r3,ZF,M,3/12/2008,3,,silver15,o8p-y8,9/12/2008,End of Exp.,,FALSE
k13r5,ZF,F,7/23/2008,8,,b7r3,p20r3,10/22/2008,End of Exp.,,FALSE
k13r6,ZF,F,11/18/2008,3,,b14r5,g7r5,3/20/2009,NE,,FALSE
k13r8,ZF,F,8/4/2009,5,,p3r6,r5y18,11/6/2009,NE,,FALSE
k14k-sb,ZF,M,4/3/2006,0,,silverblack,purple17,11/17/2006,NE,Bird broke leg.,FALSE
k14r1,ZF,M,8/9/2007,3,,y16p-s2,o12o-r12k,2/26/2008,End of Exp.,,FALSE
k14r3,ZF,F,3/12/2008,3,,silver15,o8p-y8,8/21/2008,NE,euthanized,FALSE
k14r5,ZF,F,7/23/2008,8,,b7r3,p20r3,11/4/2008,End of Exp.,,FALSE
k14r6,ZF,F,11/30/2008,5,,b10r3,b11r2,9/3/2009,End of Exp.,,FALSE
k14r8,ZF,M,8/4/2009,5,KM,p3r6,r5y18,,,Moritz,TRUE
k15k-g14k,ZF,F,3/26/2006,0,,g14k,orange16,5/25/2006,NE,Killed due to her white color.,FALSE
k15r1,ZF,M,8/9/2007,3,,y16p-s2,o12o-r12k,11/1/2007,Given away,Given away to Johanna,FALSE
k15r2,ZF,M,11/7/2007,4,,g4r1,r2b-o3,2/4/2008,End of Exp.,,FALSE
k15r4,ZF,M,3/12/2008,3,,silver15,o8p-y8,6/12/2008,End of Exp.,,FALSE
k15r5,ZF,F,7/23/2008,8,,b7r3,p20r3,11/6/2008,End of Exp.,,FALSE
k15r6,ZF,M,11/29/2008,5,,b10r3,b11r2,1/29/2009,Surgery,,FALSE
k15r8,ZF,F,8/4/2009,5,KU,p3r6,r5y18,,,,FALSE
k16k-p20,ZF,F,3/19/2006,0,,purple20,purple13,6/16/2006,NE,"don't know the sex. If you know, please transfer.         --> abgegeben an Z""uchter",FALSE
k16r1,ZF,M,8/9/2007,3,,y16p-s2,o12o-r12k,11/1/2007,Given away,Given away to Johanna,FALSE
k16r2,ZF,M,11/7/2007,4,,g4r1,r2b-o3,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
k16r4,ZF,F,7/23/2008,8,,b7r3,p20r3,3/23/2009,NE,,FALSE
k16r5,ZF,M,9/18/2008,4,,b11r3,o8r3,6/1/2009,End of Exp.,,FALSE
k16r6,ZF,M,11/29/2008,5,,b10r3,b11r2,2/7/2009,End of Exp.,,FALSE
k16r8,ZF,M,8/7/2009,3,IS7,r5y14,r7y1,,,,FALSE
k17k-g14k,ZF,F,3/26/2006,0,,g14k,orange16,5/25/2006,NE,Killed due to her white color.,FALSE
k17r1,ZF,M,8/9/2007,2,,p11k-ch900,b20o-ch900,11/16/2007,End of Exp.,,FALSE
k17r2,ZF,F,11/7/2007,4,,g4r1,r2b-o3,2/14/2008,End of Exp.,,FALSE
k17r4,ZF,M,1/28/2008,1,,p14k-p2,blue2,6/25/2008,End of Exp.,,FALSE
k17r6,BF,,11/27/2008,0,A,v-v10,K-K-K209-15,,,,FALSE
k17r8,ZF,M,8/7/2009,3,IS4,r5y14,r7y1,,,"reserved for michael, 4.11.09 - song recording, later tplsm",TRUE
k18k-r11,ZF,M,4/3/2006,0,,red11,purple8,1/4/2007,End of Exp.,,FALSE
k18r1,ZF,M,8/9/2007,2,,p11k-ch900,b20o-ch900,6/25/2009,NE,"Not found, presumed dead. (-janie, 25.june.2009)",FALSE
k18r2,ZF,F,11/7/2007,4,,g4r1,r2b-o3,2/12/2008,End of Exp.,,FALSE
k18r4,ZF,M,1/28/2008,0,,p14k-p2,blue2,7/10/2008,End of Exp.,,FALSE
k18r8,ZF,F,8/7/2009,3,,r5y14,r7y1,11/6/2009,NE,,FALSE
k19k-g14k,ZF,M,4/1/2006,0,,g14k,orange16,3/13/2007,End of Exp.,,FALSE
k19r1,ZF,F,8/27/2007,2,,y7o-r16,purple16,11/1/2007,Given away,Given away to Johanna,FALSE
k19r2,ZF,F,11/6/2007,1,,g4r1,r2b-o3,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
k19r4,ZF,F,,0,,,,8/21/2008,NE,"euthanized, Bird from U4 without any records in database. Claude 29.04.2008. -- There is another female bird k19r4 in the database!! Michael 21.8.2008",FALSE
k19r4-b,ZF,F,6/17/2008,2,,o20o,r16o-r11,8/21/2008,NE,"euthanized, There is another female bird k19r4 in the database .. - Michael 21.8.2008",FALSE
k19r8,ZF,F,8/29/2009,4,FJ3,r7p1,p13r5,,,used to be JU1a,FALSE
k1r1-s3k,ZF,M,6/3/2007,4,,s3k-y8,k9k-ch900,7/19/2007,End of Exp.,,FALSE
k1r3,ZF,F,2/13/2008,4,,g9r1,b4p-red11,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
k1r4,ZF,F,6/10/2008,6,,b11r3,k5r2,8/21/2008,NE,euthanized,FALSE
k1r5,ZF,F,9/24/2008,2,,g2r1,r16o-r11,6/25/2009,NE,"Can't find in ZZ on 22 Feb 2009 (Janie). Not found, presumed dead. (-janie, 25.june.2009)",FALSE
k1r6,ZF,F,10/29/2008,7,,s3k-y8,p10r2,1/9/2009,NE,,FALSE
k1r7,ZF,,4/21/2009,2,,b8p-s14k,p2r6,7/17/2009,NE,"bird was isolated as juvenile, Alexei, 16.06.2009. This bird has an abnormal song system - USE in experiments AT YOUR OWN RISK!!!",FALSE
k1r8,ZF,M,8/1/2009,4,R1,b7r7,r6s10,,,,TRUE
k20k-sg8,ZF,M,3/3/2006,0,,silvergreen8,purple5,6/6/2006,End of Exp.,,FALSE
k20r1,ZF,F,8/27/2007,2,,y7o-r16,purple16,11/1/2007,Given away,Given away to Johanna,FALSE
k20r2,ZF,F,11/6/2007,2,,g6r1,p14b-r16,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
k20r4,ZF,,3/12/2008,3,,silver15,o8p-y8,8/21/2008,NE,euthanized,FALSE
k20r4-b,ZF,F,6/17/2008,2,,o20o,r16o-r11,8/21/2008,NE,"euthanized, There is another female k20r4 in the database .. - Michael 21.8.2008",FALSE
k20r6,ZF,M,11/21/2008,3,,y16p-s2,blue2,2/1/2009,NE,found dead in KM.,FALSE
k20r8,ZF,F,8/29/2009,4,FJ3,r7p1,p13r5,,,used to be JU1b,FALSE
k2r1,ZF,M,8/9/2007,4,,g8r1,b7br-b3k,4/23/2008,End of Exp.,,FALSE
k2r2,ZF,M,11/13/2007,5,,g9r1,b4p-red11,3/16/2009,End of Exp.,,FALSE
k2r3,ZF,F,3/4/2008,1,,r2s4,y8o-r16,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
k2r4,ZF,F,6/10/2008,6,,b11r3,k5r2,8/21/2008,NE,euthanized,FALSE
k2r5,ZF,F,9/24/2008,2,,g2r1,r16o-r11,1/9/2009,NE,,FALSE
k2r6,ZF,M,10/29/2008,7,,s3k-y8,p10r2,5/18/2009,End of Exp.,,FALSE
k2r7,ZF,,4/21/2009,0,,b8p-s14k,p2r6,6/19/2009,End of Exp.,,FALSE
k2r8,ZF,F,8/1/2009,4,,b7r7,r6s10,11/6/2009,NE,,FALSE
k3k-s17,ZF,F,1/5/2006,0,,silver17,,2/16/2007,Given away,Given Away to Marianne,FALSE
k3r1,ZF,M,8/9/2007,4,,g8r1,b7br-b3k,1/7/2008,End of Exp.,,FALSE
k3r2,ZF,M,11/13/2007,5,,g9r1,b4p-red11,6/4/2008,End of Exp.,Right-Cochlear successfully removed by Claude. In MK waiting for further experiment.,FALSE
k3r3,ZF,M,3/4/2008,1,,r2s4,y8o-r16,5/27/2008,End of Exp.,,FALSE
k3r4,ZF,M,6/10/2008,6,,b11r3,k5r2,9/17/2008,End of Exp.,,FALSE
k3r5,ZF,M,9/24/2008,2,,g2r1,r16o-r11,3/9/2009,End of Exp.,Reserved for Janie. Not found in MK (Claude 01.05.2009),FALSE
k3r6,ZF,M,10/29/2008,7,,s3k-y8,p10r2,5/20/2009,End of Exp.,,FALSE
k3r7,ZF,M,4/19/2009,4,,k8r2,r5s4,8/18/2009,End of Exp.,,FALSE
k3r8,ZF,F,8/1/2009,4,,b7r7,r6s10,11/6/2009,NE,,FALSE
k4r1,ZF,M,8/9/2007,4,,g8r1,b7br-b3k,10/22/2008,End of Exp.,"Very nice song. Use for Breeding! - Sorry, there is no other bird phd +/-300 around for the RAexperiment Aymeric",FALSE
k4r2,ZF,F,11/13/2007,5,,g9r1,b4p-red11,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
k4r3,ZF,F,2/13/2008,4,,g9r1,b4p-red11,6/9/2008,Given away,Given away to Johanna on 09.06.08,FALSE
k4r4,ZF,M,6/10/2008,6,,b11r3,k5r2,9/23/2008,End of Exp.,,FALSE
k4r5,ZF,M,9/24/2008,2,,g2r1,r16o-r11,3/19/2009,End of Exp.,,FALSE
k4r6,ZF,M,10/29/2008,7,,s3k-y8,p10r2,6/4/2009,End of Exp.,,FALSE
k4r7,ZF,,4/19/2009,4,,k8r2,r5s4,6/19/2009,End of Exp.,,FALSE
k4r8,ZF,M,8/1/2009,4,R3,b7r7,r6s10,,,"reserved for michael, 4.11.09 - song recording, later tplsm",TRUE
