ID;Bird;Exp Name;Start Date;End Date;Setup;Data On;Backup On;PI;SG;Comment
488;o10w;Pitch;07.02.2008;20.02.2008;E4;;;Andreas;1;tried song stimulation and see if pitch changes. Found some problems. Bird broke his small toe. Experiment suspended.
489;r3y3;SR;28.02.2008;17.03.2008;E4;;;Andreas;1;record song and try song stimulation and see if pitch changes.
490;r4s12;urethane test;29.02.2008;29.02.2008;;;;Aymeric;2;
491;r4s15;Urethane test;29.02.2008;29.02.2008;;;;Aymeric;2;
492;s11r3;Right-Cochlear removal.;29.02.2008;29.02.2008;;;;Claude;0;
493;r2s12;Perfusion;03.03.2008;03.03.2008;;;;Daniele;2;Perfusion for Graham Knott
495;s10r3;Right-Cochear removed & Song development.;04.03.2008;04.03.2008;;;;Claude;1;
497;s18r3;Right-Cochlear removed.;05.03.2008;06.03.2008;;;;Claude;1;Failed.
498;s19r3;Right-Cochlear removed & Song development;05.03.2008;05.03.2008;;;;Claude;1;
499;s20r3;Right-Cochlear removed;05.03.2008;22.05.2008;;;;Claude;1;
500;o19r3;Right-Cochlear removed. & Song development;06.03.2008;22.05.2008;;;;Claude;1;The bird's head is always seriously towards right side. Not suitable for exp.
501;o20r3;Right-Cochlear removed.;06.03.2008;07.03.2008;;;;Claude;1;Failed.
503;o15r3;Right-Cochlear removed.;06.03.2008;10.03.2008;;;;Claude;1;Killed by a extra-tutor I put in the same cage.
504;o16r3;Right-Cochlear removed.;06.03.2008;10.03.2008;;;;Claude;1;Killed by a extra-tutor I put in the same cage.
505;o17r3;Right-Cochlear removed,;06.03.2008;10.03.2008;;;;Claude;1;Killed by a extra-tutor I put in the same cage.
506;o18r3;Right-Cochlear removed.;06.03.2008;07.03.2008;;;;Claude;1;Failed.
507;g5r2;Intracellular;07.03.2008;07.03.2008;AS;;;Janie;2;Successful labeling of cells with HRP - NO DATA
508;r2y17;Tracer injection;10.03.2008;12.03.2008;;;;Daniele;2;Low pressure perfusion
509;r3y14;tracing study;12.03.2008;12.03.2008;;;;Moritz;2;
510;b3r1;Acute;14.03.2008;14.03.2008;AS;;;AymRich;2;Intracellular recordings and iontophoresis labeling with Alexa Fluor in HVC area. Perfusion. No recordings.
512;g1r3;Right-Cochlear removed & Song development.;18.03.2008;18.03.2008;;;;Claude;1;
513;K-K-K209-52;SR;18.03.2008;20.03.2008;IS5;;;Andreas;1;determined sex of bird
514;K-K-K209-78;SR;18.03.2008;20.03.2008;IS7;;;Andreas;1;determined sex of bird
515;R-G-K209-91;SR;18.03.2008;21.03.2008;IS8;;;Andreas;1;determined sex of bird
516;K-K-K209-15;SR;18.03.2008;21.03.2008;IS2;;;Andreas;1;determined sex of bird
517;b17r3;test intracellular rec and fill;19.03.2008;19.03.2008;AS;;;AymRich;2;Labeled HVC with AF and HRP
519;K-G-K209-54;SR;20.03.2008;20.03.2008;IS5;;;Andreas;1;determined sex of bird
520;B-R-K209-64;SR;20.03.2008;21.03.2008;IS7;;;Andreas;1;determined sex of bird
522;W-K-K209-14;SR;20.03.2008;21.03.2008;IS5;;;Andreas;1;determined sex of bird
523;G-TT69-73;SR;20.03.2008;21.03.2008;IS3;;;Andreas;1;determined sex of bird
524;r2s11;SR;25.03.2008;26.03.2008;IS2;;;Aymeric;1;
525;r4s10;SR;25.03.2008;28.03.2008;IS3;Zut3;;Aymeric;1;
526;r3s2;SR;26.03.2008;31.03.2008;E3;Zutty;;Joshua;1;Electrophysiology problem during surgery. Surgery not successful, bird euthanized.
527;r2s11;Acute;26.03.2008;26.03.2008;AS;Zut4;Lacie1TB;AymRich;2;FieldL single unit intracellular recordings and labelling with Alexa Fluor - Trial without Perfusion.
528;p8r3;MD Nif;27.03.2008;19.04.2008;E1;Zut;;Georg;2;Nif & Error neurons, lost E2 and E3, stim in the shelf? Stim resp at 1200RD. Burns at 1200RD and 2200RD.
529;r1y14;Tracer injection;27.03.2008;01.04.2008;;;;Daniele;2;FR left, AF right
530;r4s8;Histology;01.04.2008;03.04.2008;E3;Zutty;;Joshua;2;did not reliably identify LMAN in surgery, noise artefacts from stimulation. No implantation of microdrive. Two burns at 2mm and 3.7mm - LMAN probably 400-600um posterior from burns. To be identified by histology.
531;r3y19;HVC recording;02.04.2008;02.04.2008;S2;;;;1;
532;r4s10;Acute;02.04.2008;02.04.2008;AS;;;AymRich;2;Intracellular recordings and labelling with AF in FieldL
533;o4r3;SR;03.04.2008;29.04.2008;IS1;;;Aymeric;1;
534;r2y13;SR;03.04.2008;09.04.2008;IS2;;;Aymeric;1;
535;r3s15;Histology;07.04.2008;07.04.2008;E3;;;Joshua;2;stim fine, lman could not be identified. Two burns at 5.2mm anterior, at 2 and 4mm depth, then euthanized
536;o13r3;SR;08.04.2008;08.04.2009;IS2;Zut3;;Janie;0;
538;p5r2;RA stim, LMAN md;09.04.2008;23.04.2008;E3;Zutty;;Joshua;2;surgery ok, small bleeding at implant site. No stim response at any depth. Md could be moved, probably lateral angle not properly adjusted. Histology will show. Headangle 60 degree, lman located at 4.5-4.9 anterior, 1.5 lateral, 2.2-2.7 depth.
539;o13r3;Intracellular;10.04.2008;10.04.2008;AS;;;Janie;2;Successful cell penetration! - No Record.
542;r3y6;SR;17.03.2008;10.04.2008;E4;;;Andreas;1;determined sex of bird
543;r3y6;Pitch;11.04.2008;16.04.2008;E4;linsrv01;;Andreas;1;see if we can move pitch by playing whitenoise to the bird
544;k3r2;Right-Cochlear removal.;03.03.2008;03.03.2008;;;;Claude;1;Successful.
545;r3s16;Perfusion Experiment;16.04.2008;16.04.2008;;;;Moritz;1;
546;p2r1;Perfusion;16.04.2008;16.04.2008;;;;Moritz;1;
547;r4s7;Perfusion Experiment;16.04.2008;16.04.2008;;;;Daniele;1;
548;r3y20;Perfusion experiment;16.04.2008;16.04.2008;;;;Daniele;1;
549;p12r2;Perfusion Experiment;16.04.2008;16.04.2008;;;;Moritz;1;
550;k3r2;HVC Stim.;18.04.2008;21.04.2008;;Zirkel;;Claude;1;
551;k2r1;LMAN Tetrode;23.04.2008;23.04.2008;AS;;;Richard;2;Bipolar stimulation in RA and multirode recording in LMAN - Found LMAN at 1.7ML, 5.5AP, 1.6-2.1DP from front/right with 55 degree
552;g15r2;LMAN Tetrode;24.04.2008;24.04.2008;AS;;Lacie1TB;Richard;2;good data n1-n5   LMAN found at 5.4AP, 1.7ML, 1.57-2.1DP   tresh 35uA  made 3 burns with 5Mohm pipette: 1.6/2.2/4.5
553;g11r3;SR;24.04.2008;29.04.2008;IS3;;;Andreas;0;
555;r2y13;acute;25.04.2008;25.04.2008;AS;;;Aymeric;2;Stim in FieldL and records in ovidalis
556;g9r2;acute;28.04.2008;28.04.2008;AS;;;AySa;0;Area X intracellular recording
557;o18r1;Search DM;02.05.2008;02.05.2008;AS;;;Claude;2;
558;o10r1;Tracer injection;05.05.2008;08.05.2008;;;;Moritz;2;
559;r2y19;acute;07.05.2008;06.05.2008;AS;;;AyJoRi;2;Tether in HVC Stim in RA and AreaX
560;g18r3;stim RA, hexode LMAN;13.05.2008;22.05.2008;E3;Zutty;;Joshua;2;found LMAN 4.8 anterior, 1.5 lateral, 2.2 dorsal - tetrode drift? Missed LMAN core, data not useful.
561;r2s2;Bilateral HVC interneuron recording;14.05.2008;14.05.2008;AS;zong;;Claude;1;
562;p15r2;Intracellular;07.05.2008;07.05.2008;AS;;;Janie;1;Alexafluor Injection - Successful cell (2) injection! - PICTURE DATA
563;k9r3;Show girl;15.05.2008;15.05.2008;;;;Claude;0;
564;o7r1;Acute;15.05.2008;15.05.2008;AS;;;Andreas;1;Ovoidalis & Field L
565;r4s5;HVC - electrophysiological map;13.05.2008;13.05.2008;AS;;;Michael;1;
566;g11r3;Acute;16.05.2008;16.05.2008;AS;;;Andreas;2;Ovoidalis & Field L
567;s20o-yellow20;Perfusion Experiment (EM);19.05.2008;19.05.2008;;;;Moritz;1;
568;b15r2;Perfusion Experiment;19.05.2008;19.05.2008;;;;Daniele;2;
569;r3y15;tracer injection;20.05.2008;28.05.2008;;;;Moritz;2;
570;g10r3;Left-Cochlear removal.;21.05.2008;21.05.2008;;;;Claude;1;Failed.
571;o4r3;Acute;22.05.2008;22.05.2008;AS;;;Andreas;1;Ovoidalis & Field L
572;k3r2;HVC Stim.;22.05.2008;04.06.2009;;Zirkel;;Claude;1;
573;k5r3;Tracer HVC;22.05.2008;28.05.2008;;;;Daniele;2;For Bruno
574;r5r16;SR;21.05.2008;26.05.2008;IS2;;;Andreas;0;
575;r4s6;SR;21.05.2008;26.05.2008;IS4;;;Andreas;0;
576;p11r2;Test dosage of Ketamine & Xylazine;26.05.2008;26.05.2008;;;;Claude;1;10 ul Ketamine + 10 ul Xylazine for a 15g bird. Sleep for more than 5 hours.
577;r4s9;Tetrode Recording Surgery Setup 2;27.05.2008;27.05.2008;;;;Joshua;2;Test electrophysiology with multitrodes in the surgery setup.
578;k3r3;Search HVC inter-neurons bilaterally.;27.05.2008;27.05.2008;AS;;;Claude;1;Successful.
579;g13r3;Urethan test.;28.05.2008;28.05.2008;;;;Claude;1;
580;r5r16;Acute;28.05.2008;28.05.2008;AS;;;Andreas;1;Ovoidalis & Field L
581;g10r2;Acute;29.05.2008;29.05.2008;AS;;;Aymeric;2;RA intracellular recordings and pipette development
582;b20r2;SR;02.06.2008;10.06.2008;IS7;;;Andreas;0;
583;yellow1;SR;02.06.2008;06.06.2008;IS2;;;Andreas;0;
584;r2s16;Acute Exp. Search HVC interneurons;02.06.2008;02.06.2008;;;;Claude;1;
585;r4s16;chronic MD implant;03.06.2008;03.06.2008;E4;;;Aymeric;2;Manual MD implant in Lman and Bipolar stimulation electrode in RA
586;r4s18;surgery;05.06.2008;12.06.2008;E3;Zutty;Zynix;AyJo;2;Implant manual MD in LMan and Stim in RA, burn at implant site (2500um?) +100um, 12s 15uA
587;g4r3;HVC - electrophysiological map;19.05.2008;19.05.2008;AS;;;Michael;1;
588;b4r2;TPLSM;26.05.2008;26.05.2008;;;;Michael;2;
591;r4s17;surgery;05.06.2008;05.06.2008;;;;Aymeric;2;Burn AP 5.0 ML 1.6 DV 2.5 with o.1Mohm and shielding problematic
592;o13r2;burn tetrodes;05.06.2008;05.06.2008;;;;Josh;2;burn with tetrode in  AP 5.0 ML1.6 DV1.0-2.0
593;r4s13;SR;06.06.2008;10.06.2008;IS2;;;Andreas;0;
594;k17r4;SR;06.06.2008;10.06.2008;IS1;Zut3;;Janie;0;
595;r2y4;TPLSM Tracer Injection into RA;06.06.2008;06.06.2008;;;;Michael;2;
596;o19r1;SR;06.06.2008;10.06.2008;IS6;Zut3;;Janie;1;
597;o5r3;SR;06.06.2008;10.06.2008;IS5;Zut3;;Janie;1;
598;r2y20;SR;06.06.2008;10.06.2008;IS3;Zut3;;Janie;1;
599;g3r3;Perfusion Experiment (Graham Prot.);09.06.2008;09.06.2008;;;;Moritz;1;
600;p16r1;Perfusion Experiment;09.06.2008;09.06.2008;;;;Daniele;1;
601;r2y5;Test Ketamine.;09.06.2008;09.06.2008;;;;Claude;1;10ul Ketamine + 10 ul Xylezine at 14:15 (09.06.2008). Let it be in the cage over night to see if she can wake up.
602;g15r3;SR;10.06.2008;12.06.2008;IS7;;;Andreas;0;
603;b16r4;Perturbation;12.06.2008;11.07.2008;E1;;;Georg;2;
604;p9r1;Tracer injection;13.06.2008;19.06.2008;;;;Moritz;2;
605;k15r4;stim RA, MD lMAN;26.05.2008;12.05.2008;E3;Zutty;;Joshua;2;missed lMAN, burns at 2.9 and 1.9 mm
606;r2y20;Triplet Recording Field L;11.06.2008;11.06.2008;AS;Zing;;Janie;2;Successful Recording - PICTURE DATA
607;o5r3;Triplet Recording Field L;13.06.2008;13.06.2008;AS;Zing;;Janie;2;Successful Recording
608;r4s6;Acute;14.06.2008;14.06.2008;AS;;;Andreas;1;Ovoidalis & Field L
609;b20r2;Acute;14.06.2008;14.06.2008;AS;;;Andreas;1;Ovoidalis & Field L
610;r4s11;SR;16.06.2008;18.06.2008;IS2;;;Andreas;0;
611;r1s8;SR;16.06.2008;18.06.2008;IS7;;;Andreas;0;
612;r2r5;Tracer injection;17.06.2008;26.06.2008;;;;Moritz;2;FR->nif, AF488->RA
613;b10r4;Fluoro Ruby Dextran Injection into RA;17.06.2008;17.06.2008;;;;Michael;2;
614;r1s7;TPLSM - Tracer Injection in RA;12.06.2008;12.06.2008;;;;Michael;2;
615;r2y4;TPLSM;09.06.2008;09.06.2008;;;;Michael;2;
616;g15r3;Acute;17.06.2008;17.06.2008;AS;;;Andreas;1;Ovoidalis & Field L
617;g9r3;Ketamin test;18.06.2008;18.06.2008;;;;Claude;1;
618;juvM6a;Hexode Experiment;13.06.2008;18.06.2008;E3;;;AyJo;2;Three burns with different duration, amplitude -> optimal 8ms, 8uA
619;p16r3;SR;19.06.2008;24.06.2008;IS3;Zut3;;Janie;1;
620;o19r1;Quadruplet Recording Field L;19.06.2008;19.06.2008;AS;Zing;;Janie;1;Successful Recording!
621;g18r2;SR;20.06.2008;24.06.2008;IS2;Zut3;;Janie;0;
622;p5r3;SR;20.06.2008;24.06.2008;IS4;Zut3;;Janie;0;
623;k7r3;SR;20.06.2008;24.06.2008;IS6;Zut3;;Janie;0;
624;o11r1;SR;20.06.2008;24.06.2008;IS7;Zut3;;Janie;0;Bird never sang
625;k8r3;SR;20.06.2008;24.06.2008;IS8;Zut3;;Janie;0;
626;p5r3;TUTOR;23.06.2008;24.06.2008;;;;Aymeric;0;reserved for ever
627;b1r2;Tracer Injection;23.06.2008;23.06.2008;;;;Michael;2;Fluoro Ruby 10000 MW injection
628;k17r4;Quadruplet Recording;25.06.2008;25.06.2008;;Zing;;Janie;1;Successful Recording
629;juvO2a;Manual Microdrive;19.06.2008;26.06.2008;E4;;;AyJo;2;Burn 12uA for 12'
630;juvM3Bb;Burns in LMAN;19.06.2008;19.06.2008;;;;Aymeric;2;
632;k7r3;Quadruplet Recording;26.06.2008;26.06.2008;;;;Janie;1;No cells found, made burns to map the area - PICTURE DATA
633;g18r2;Quadruplet Recording Field L;30.06.2008;30.06.2008;;Zing;;Janie;1;Successful Recording!
634;r1s14;SR;02.07.2008;06.07.2008;IS7;;;Andreas;0;
635;g20r3;SR;02.07.2008;06.07.2008;IS6;;;Andreas;0;
636;g19r2;Showgirl;02.07.2008;05.07.2008;;;;Sandra;0;Song motivator for juvenile
637;b18r4;SR;02.07.2008;07.07.2008;IS8;Zut3;;Janie;0;
638;k10r3;Tracer injection;02.07.2008;02.07.2008;;;;Michael;2;Injection of Fluoro Ruby into RA.
639;p13r3;TPLSM and Electrophysiology;01.07.2008;01.07.2008;;;;Michael;2;OGB-1 AM injection, SR101 application and additional electrophysiology
640;k18r4;SR;07.07.2008;07.09.2008;IS3;Zut3;;Janie;0;
641;b20r1;SR;07.07.2008;15.07.2008;IS7;Zut3;;Janie;0;
642;o1r4;SR;07.07.2008;15.07.2008;IS8;Zut3;;Janie;0;
643;g8r4;Acute;07.07.2008;07.07.2008;AS;;;Sandra;2;Acute Experiment Sandra, extracellular recordings in AreaX and burns at 6uA/6s, 8uA/8s and 10-8uA/10s
644;r4y2;drug test;08.07.2008;08.07.2008;;;;Andreas&Claude;0;
645;p14r2;drug test;08.07.2008;08.07.2008;;;;Andreas&Claude;0;
646;k18r4;Quadruplet Recording - Field L;10.07.2008;10.07.2008;AS;Zut4;;Janie;1;Successful Recording
647;b18r4;Quadruplet Recording;10.07.2008;10.07.2008;;;;Janie;1;Bird died (urethane overdose?)
648;cj1;Stim RA, MD in LMAN;10.07.2008;13.08.2008;E3;Zutty;;AyJo;2;recording in LMAN with low SNR, burns in X and 1mm above deepest burn
649;o7r3-b;song recording;11.07.2008;14.07.2008;IS2;;;Michael;0;
650;b12r4;song recording;11.07.2008;14.07.2008;IS1;;;Michael;0;
651;o3r4;song recording;14.07.2008;22.07.2008;IS1;;;Michael;0;
652;r1s14;Acute;15.07.2008;15.07.2008;AS;;;Andreas;1;Ovoidalis & Field L
653;tj1;tracer injection RA, burns LMAN;16.07.2008;21.07.2008;;;;Joshua;2;burns at 4.1 anterior, 1.6 lateral, 1.5-1-0.5 mm dorsal / tracer injection in RA
654;r1s8;Acute;17.07.2008;17.07.2008;AS;;;Andreas;1;Ovoidalis & Field L
655;r4s11;Acute;17.07.2008;17.07.2008;AS;;;Andreas;1;Ovoidalis & Field L
656;g3r4;SR;17.07.2008;27.07.2008;IS7;;;Andreas;1;
657;p4r1;LMAN Stim. HVC Rec.;11.07.2008;11.07.2008;AS;Zong;;Claude;1;
658;b6r4;SR;18.07.2008;21.07.2008;IS6;;;Andreas;0;
659;g5r1;SR;18.07.2008;21.07.2008;IS2;;;Andreas;0;
660;g1o-g14k;song recording;18.07.2008;23.07.2008;;;;Michael;0;
661;g20r3;Acute;19.07.2008;19.07.2008;AS;;;Andreas;1;Ovoidalis & Field L
662;r2r3;Tracer injection into RA;20.07.2008;20.07.2008;;;;Michael;2;
663;p12r1;SR;21.07.2008;26.07.2008;IS2;;;Andreas;1;
664;r2s3;SR;21.07.2008;24.07.2008;IS6;;;Andreas;0;
665;g6r3;HVC Stim & DM Rec.;26.08.2008;24.09.2008;E2;Zirkel;;Claude;1;
666;o19r4;Lombard effect test;21.07.2008;24.07.2008;E1;;;Georg;1;"Second cotrol experiment for possible lombard effect using ""windowed"" WN"
667;g5r1;Acute;22.07.2008;22.07.2008;AS;;;Andreas;1;Ovoidalis & Field L
668;o3r4;tracer injection;22.07.2008;22.07.2008;;;;Michael;2;
669;b11o-p11k;acute RA recs;23.07.2008;23.07.2008;AS;;;Aymeric;2;
670;b10r4;TPLSM;18.06.2008;18.06.2008;;;;Michael;2;
671;b1r2;TPLSM;25.06.2008;25.07.2008;;;;Michael;2;
672;k10r3;TPLSM;04.07.2008;04.07.2008;;;;Michael;2;
673;o7r3-b;Tracer injection;14.07.2008;14.07.2008;;;;Michael;2;
674;o7r3-b;TPLSM;16.07.2008;16.07.2008;;;;Michael;2;
675;r2r3;TPLSM;21.07.2008;21.07.2008;;;;Michael;2;
676;r4y1;Acute Exp. Bilateral HVC Rec.;24.07.2008;24.07.2008;AS;;;Claude;1;Failed.
677;g3r4;Acute;28.07.2008;28.07.2008;AS;;;Andreas;1;Ovoidalis & Field L
678;o11r3;Tracer Injection;28.07.2008;28.07.2008;;;;Michael;2;
679;o4r4;Bilateral HVC rec.;29.07.2008;29.07.2008;AS;;;Claude;1;There is cross-talk between head-stage.
680;g10r4;pHVC lesion;01.08.2008;04.10.2008;;;;Georg;2;bilateral lesion of pHVC
681;g11r4;pHVC lesion;01.08.2008;04.10.2008;;;;Georg;2;Control bird
682;g12r4;pHVC lesion;01.08.2008;04.10.2008;;;;Georg;2;bilateral pHVC lesion
683;g13r4;pHVC - HVC cut;01.08.2008;21.09.2008;;;;Georg;1;control bird
684;g14r4;pHVC - HVC cut;01.08.2008;21.09.2008;;;;Georg;2;bilateral cut between pHVC and HVC
685;b8r4;paraHVC;11.08.2008;11.08.2008;;;;FlorianH;2;mit Andreas, erster Versuch
686;o20r4;HVC acute experiment;12.08.2008;12.08.2008;AS;;;Claude;2;
688;b6r3;Tracer injection;13.08.2008;18.08.2008;;;;Daniele;2;Uva, Ra, X, Nif without elctroph.
689;y6o-s3k;pHVC Tracer;13.08.2008;13.08.2008;;;;FlorianH;2;Unilateral (right hemisphere) tracer injection in Area X (Cascade blue) HVC (fluor ruby) RA (Alexafluor488).
690;r4y14;MD pHVC NCM;13.08.2008;14.08.2008;E1;Zut;;Georg;2;implant ML 0.8, AP 0.5, stim in area X. Motor burned because of short circuit in a plug on the cable conneting faulhaber motor controller to the breaktout box. EoE.
691;b7r4;Tracer ParaHVC;14.08.2008;14.08.2008;;;;FlorianH;2;
692;r2s4;Tracer injection;12.08.2008;15.08.2008;;;;FlorianH;2;
693;cj2;stim RA, burns in  LMAN;15.08.2008;15.08.2008;;;;Joshua;2;
694;g9r4;HVC Acute exp.;15.08.2008;15.08.2008;AS;;;Claude;1;
695;cj3;md LMAN, stim RA;18.08.2008;01.09.2008;E3;Zutty;;AyJo;2;burned in Area X, pulled back electrode and made 2nd burn
696;p7r4;HVC Acute Exp.;19.08.2008;19.08.2008;AS;Zong;;Claude;1;
697;g6r4;MD Nif;19.08.2008;20.08.2008;E1;Zut;;Georg;2;Implant at AP 2.0 ML 1.9 head angle 65. Stim did not work in setup, bird broke off electrode with claw during attempt to catch. EoE
698;g5r4;Tracer injection;20.08.2008;20.08.2008;;;;Moritz;0;UVA, RA, NIF and X, all bilateral
699;r3r8;HVC Acute exp.;20.08.2008;20.08.2008;AS;Zong;;Claude;1;
700;p9r4;Tracer Injection;20.08.2008;20.08.2008;;;;Michael;2;
701;r12k-ch900;SR;22.08.2008;25.08.2008;IS8;Zut3;;Janie;0;
702;g4r4;SR;22.08.2008;25.08.2008;IS7;Zut3;;Janie;0;
703;r4y8;RArec HVC-lMANstim;22.08.2008;22.08.2008;;;;Claude;0;RA extracelullar recording and biccuculine inections with HVC-lMAN-varialbe stimulation protocol
704;b13r4;Show girl;23.08.2008;01.09.2008;E1;;;Georg;1;
705;g5r4;Perfusion;25.08.2008;25.08.2008;;;;Moritz;2;
706;y5y10-s3k;SR;25.08.2008;01.09.2008;IS7;Zut3;;Janie;1;
708;o11r1;Tracer injection;27.08.2008;27.08.2008;;;;Daniele;2;
709;b6r4;Acute;28.08.2008;28.08.2008;AS;;;Andreas;1;Ovoidalis & Field L
710;s14k-r16;OP Tracer pHVC;28.08.2008;01.09.2008;;;;FlorianH;2;
711;r4y7;Tracer Injection;29.08.2008;29.08.2008;;;;Michael;2;
712;k7r1;Tracer pHVC;29.08.2008;01.09.2008;;;;FlorianH;2;
713;cj4;md in lMAN;29.08.2008;08.09.2008;E3;Zutty;;Joshua;2;implant at 2.5mm dv, moved electrode 500um, burn at 3.0mm dv and burn at 2.25mm dv.
714;r4y10;SR;26.08.2008;09.01.2008;IS8;Zut3;;Janie;0;
715;o8r4;SR;01.09.2008;09.09.2008;IS8;;;Andreas;1;
716;o17r2;SR;01.09.2008;05.09.2008;IS7;;;Andreas;1;
717;o7r3;Field L Verification;02.09.2008;02.09.2008;AS;;;Janie;0;Made a series of burns to cofirm Field L coordinates, tested intracellular pipette impedance - No Record.
718;r4y10;Tracer Injection;03.09.2008;08.09.2008;;;;Daniele;2;
719;r2s3;Acute;04.09.2008;04.09.2008;AS;;;Andreas;1;Ovoidalis & Field L
720;k3r4;SR;05.09.2008;08.09.2008;IS7;;;Andreas;1;
721;p16p-r11;Tracer Injection;05.09.2008;05.09.2008;;;;Michael;2;
722;o17r2;Acute;07.09.2008;07.09.2008;;;;Andreas;1;Ovoidalis & Field L
723;p3r2;pHVC Tracer;08.09.2008;10.09.2008;;;;FlorianH;2;
724;k13r3;pHVC Tracer;10.09.2008;12.09.2008;;;;FlorianH;2;
725;g1o-g14k;tracer injection;23.07.2008;23.07.2008;;;;Michael;2;
726;g1o-g14k;TPLSM;25.07.2008;25.07.2008;;;;Michael;2;
727;o11r3;TPLSM;30.07.2008;30.07.2008;;;;Michael;2;
728;r12k-ch900;Intracellular;12.09.2008;09.09.2008;AS;Zing;;Janie;0;Field L - Tried to label 1 cell, made bilateral burns for verification - PICTURE DATA
729;s11p-yellow8;Intracellular;13.09.2008;13.09.2008;AS;;;Janie;1;Field L -  Successful cell penetration. Made 4 burns to locate field L. - NO DATA, PICTURE DATA
730;p11r4;SR;14.09.2008;17.09.2008;IS7;Zut3;;Janie;0;
731;r3p-r19o;SR;14.09.2008;18.09.2008;IS8;Zut3;;Janie;0;
732;o8r4;Acute;14.09.2008;14.09.2008;AS;;;Andreas;1;Ovoidalis & Field L
733;o18r4;Tracer Injection;18.08.2008;18.08.2008;;;;Michael;2;
734;o18r4;TPLSM;19.08.2008;19.08.2008;;;;Michael;2;
735;p9r4;TPLSM;22.08.2008;22.08.2008;;;;Michael;2;
736;r4y7;TPLSM;01.09.2008;01.09.2008;;;;Michael;2;
737;r4p5;Tracer injection;02.09.2008;02.09.2008;;;;Michael;2;After tracer injection bird seems to suffer from pain -> euthanasia
738;p16p-r11;TPLSM;08.09.2008;08.09.2008;;;;Michael;2;
739;r3y12;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
740;r3y10;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
741;r3y7;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
742;r3y4;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
743;r3y11;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
744;r3y2;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
745;r3y8;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
746;r3y1;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
747;r3y9;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
748;r3y5;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
749;r4y4;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
750;g-v12;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
751;p9green;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
752;v-v10;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
753;s5y11;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
754;r8y12-BF;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
755;r4o14;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
756;r4o9;SR;20.03.2008;21.03.2008;;;;Andreas;1;determined sex of bird
757;r4p3;r4p3;15.09.2008;17.09.2008;;;;Moritz;2;Tracer injection RA, X, NIF and UVA
758;g8r3;Tracer Injection;16.09.2008;16.09.2008;;;;Michael;3;bird seemed to suffer from pain after wake up (beeping .. ) and shortly after bird died
759;k3r4;Acute;17.09.2008;17.09.2008;AS;;;Andreas;1;Ovoidalis & Field L
760;k4r4;SR;18.09.2008;23.09.2008;IS8;;;Andreas;1;
761;r4y6;SR;18.09.2008;23.09.2008;IS7;;;Andreas;1;
762;silver15;Tracer injection;18.09.2008;22.09.2008;;;;Daniele;2;Unilater, RA, X, NIf, UVA
763;o1r4;quadruplet/triplet recording - Field L;18.09.2008;18.09.2008;AS;Zing;;Janie;1;successful recordings - PICTURE DATA
764;r1y12;tracer;19.09.2008;19.09.2008;;;;Moritz;2;
765;b20r1;quadruplet recording  - field L;20.09.2008;20.09.2008;AS;Zing;;Janie;1;successful recording - PICTURE DATA
766;g20r5;SR;21.09.2008;25.09.2008;IS4;;;Andreas;1;
767;r2s6;SR;21.09.2008;25.09.2008;IS6;;;Andreas;1;
768;k10r5;Tracer Injection;22.09.2008;22.09.2008;;;;Michael;2;
769;p11r4;Quadruplet recording - field L;22.09.2008;22.09.2008;AS;Zing;;Janie;1;super successful recordings
770;k4r4;Acute;23.09.2008;23.09.2008;;;;Andreas;1;Ovoidalis & Field L
771;o20o;SR;23.09.2008;29.09.2008;IS7;;;Andreas;1;
772;p8r4;SR;23.09.2008;29.09.2008;IS8;;;Andreas;1;
773;k7r5;Tracer Injection;23.09.2008;23.09.2008;;;;Michael;2;
774;cj5;stim RA md LMAN;24.09.2008;29.09.2008;E3;Zutty;;Joshua;3;Bird was weak, perished over night. At the implant site of the stimulation electrode, there seemed to be a bleeding.
775;y5y10-s3k;quadruplet/ intracellular field L;24.09.2008;24.09.2008;AS;Zing;;Janie;1;many quadruplet/triplet recordings, maybe intracellular too!
776;silverblack;tracer injection;25.09.2008;01.10.2008;;;;Moritz;2;
777;k10r5;TPLSM;24.09.2008;24.09.2008;;;;Michael;2;Bird dies during surgery.
